POS,ODR,POF,ideal_prob
0.297,0.423,0.703,0.0
0.703,2.364,0.297,0.0
0.859,6.087,0.141,0.0
0.141,0.164,0.859,0.0
0.133,0.154,0.867,0.0
0.128,0.147,0.872,0.0
0.123,0.14,0.877,0.0
0.124,0.141,0.876,0.0
0.126,0.145,0.874,0.0
0.127,0.146,0.873,0.0
0.119,0.135,0.881,0.0
0.12,0.137,0.88,0.0
0.18,0.22,0.82,0.0
0.07,0.076,0.93,0.0
0.068,0.073,0.932,0.0
0.179,0.218,0.821,0.0
0.186,0.228,0.814,0.0
0.186,0.228,0.814,0.0
0.063,0.068,0.937,0.0
0.067,0.072,0.933,0.0
0.169,0.203,0.831,0.0
0.171,0.206,0.829,0.0
0.075,0.081,0.925,0.0
0.171,0.207,0.829,0.0
0.074,0.08,0.926,0.0
0.068,0.073,0.932,0.0
0.189,0.234,0.811,0.0
0.08,0.086,0.92,0.0
0.211,0.268,0.789,0.0
0.209,0.265,0.791,0.0
0.206,0.26,0.794,0.0
0.045,0.048,0.955,0.0
0.213,0.27,0.787,0.0
0.04,0.042,0.96,0.0
0.04,0.042,0.96,0.0
0.04,0.042,0.96,0.0
0.501,1.004,0.499,0.0
0.452,0.824,0.548,0.0
0.006,0.006,0.994,1.0
0.013,0.013,0.987,1.0
0.01,0.01,0.99,1.0
0.004,0.004,0.996,1.0
0.003,0.003,0.997,1.0
0.017,0.017,0.983,1.0
0.161,0.191,0.839,0.0
0.086,0.094,0.914,0.0
0.163,0.195,0.837,0.0
0.09,0.099,0.91,0.0
0.157,0.187,0.843,0.0
0.168,0.203,0.832,0.0
0.087,0.096,0.913,0.0
0.087,0.095,0.913,0.0
0.066,0.071,0.934,0.0
0.063,0.067,0.937,0.0
0.183,0.224,0.817,0.0
0.184,0.226,0.816,0.0
0.19,0.235,0.81,0.0
0.188,0.232,0.812,0.0
0.065,0.069,0.935,0.0
0.06,0.064,0.94,0.0
0.392,0.645,0.608,0.0
0.608,1.55,0.392,0.0
0.235,0.308,0.765,0.0
0.765,3.249,0.235,0.0
0.955,21.024,0.045,0.0
0.045,0.048,0.955,0.0
0.688,2.2,0.312,0.0
0.255,0.343,0.745,0.0
0.009,0.009,0.991,1.0
0.023,0.024,0.977,1.0
0.013,0.013,0.987,1.0
0.003,0.003,0.997,1.0
0.007,0.007,0.993,1.0
0.005,0.005,0.995,1.0
0.803,4.072,0.197,0.0
0.145,0.17,0.855,0.0
0.002,0.002,0.998,1.0
0.009,0.009,0.991,1.0
0.014,0.014,0.986,1.0
0.005,0.005,0.995,1.0
0.003,0.003,0.997,1.0
0.019,0.019,0.981,1.0
0.778,3.502,0.222,0.0
0.175,0.213,0.825,0.0
0.004,0.004,0.996,1.0
0.014,0.014,0.986,1.0
0.018,0.018,0.982,1.0
0.007,0.007,0.993,1.0
0.005,0.005,0.995,1.0
0.002,0.002,0.998,1.0
0.66,1.938,0.34,0.0
0.019,0.019,0.981,1.0
0.007,0.007,0.993,1.0
0.292,0.413,0.708,0.0
0.008,0.008,0.992,1.0
0.003,0.003,0.997,1.0
0.008,0.008,0.992,1.0
0.002,0.002,0.998,1.0
0.2,0.25,0.8,0.0
0.198,0.247,0.802,0.0
0.053,0.056,0.947,0.0
0.2,0.25,0.8,0.0
0.198,0.247,0.802,0.0
0.054,0.057,0.946,0.0
0.048,0.051,0.952,0.0
0.052,0.055,0.948,0.0
0.103,0.114,0.897,0.0
0.104,0.116,0.896,0.0
0.14,0.163,0.86,0.0
0.108,0.122,0.892,0.0
0.145,0.17,0.855,0.0
0.104,0.117,0.896,0.0
0.152,0.18,0.848,0.0
0.142,0.165,0.858,0.0
0.158,0.188,0.842,0.0
0.167,0.2,0.833,0.0
0.152,0.179,0.848,0.0
0.096,0.106,0.904,0.0
0.091,0.1,0.909,0.0
0.092,0.101,0.908,0.0
0.152,0.18,0.848,0.0
0.095,0.105,0.905,0.0
0.378,0.609,0.622,0.0
0.563,1.291,0.437,0.0
0.011,0.011,0.989,1.0
0.012,0.012,0.988,1.0
0.007,0.007,0.993,1.0
0.015,0.015,0.985,1.0
0.003,0.003,0.997,1.0
0.003,0.003,0.997,1.0
0.23,0.299,0.77,0.0
0.715,2.513,0.285,0.0
0.014,0.014,0.986,1.0
0.022,0.022,0.978,1.0
0.005,0.005,0.995,1.0
0.003,0.003,0.997,1.0
0.004,0.004,0.996,1.0
0.006,0.006,0.994,1.0
0.664,1.977,0.336,0.0
0.016,0.016,0.984,1.0
0.013,0.013,0.987,1.0
0.277,0.384,0.723,0.0
0.012,0.012,0.988,1.0
0.006,0.006,0.994,1.0
0.003,0.003,0.997,1.0
0.003,0.003,0.997,1.0
0.927,12.653,0.073,0.0
0.024,0.025,0.976,1.0
0.017,0.017,0.983,1.0
0.004,0.004,0.996,1.0
0.018,0.018,0.982,0.0
0.006,0.006,0.994,1.0
0.001,0.001,0.999,1.0
0.001,0.001,0.999,1.0
0.725,2.631,0.275,0.0
0.275,0.38,0.725,0.0
0.769,3.321,0.231,0.0
0.231,0.301,0.769,0.0
0.243,0.32,0.757,0.0
0.702,2.357,0.298,0.0
0.018,0.018,0.982,1.0
0.007,0.007,0.993,1.0
0.01,0.01,0.99,1.0
0.003,0.003,0.997,1.0
0.01,0.01,0.99,1.0
0.003,0.003,0.997,1.0
0.14,0.162,0.86,0.0
0.145,0.17,0.855,0.0
0.138,0.16,0.862,0.0
0.115,0.13,0.885,0.0
0.111,0.125,0.889,0.0
0.14,0.162,0.86,0.0
0.112,0.126,0.888,0.0
0.109,0.123,0.891,0.0
0.226,0.292,0.774,0.0
0.02,0.02,0.98,0.0
0.235,0.307,0.765,0.0
0.229,0.297,0.771,0.0
0.222,0.286,0.778,0.0
0.022,0.022,0.978,0.0
0.022,0.023,0.978,0.0
0.023,0.023,0.977,0.0
0.149,0.175,0.851,0.0
0.145,0.169,0.855,0.0
0.15,0.177,0.85,0.0
0.102,0.114,0.898,0.0
0.151,0.178,0.849,0.0
